Date,Open,High,Low,Close,Adj Close,Volume
2008-01-01,3.690000,3.690000,2.990000,3.180000,2.546010,2310000
2008-02-01,3.280000,3.280000,3.020000,3.120000,2.497972,1493000
2008-03-01,3.080000,3.200000,2.880000,3.130000,2.505979,3473000
2008-04-01,3.130000,3.280000,3.030000,3.220000,2.578035,1461000
2008-05-01,3.260000,3.350000,3.170000,3.300000,2.642086,1005000
2008-06-01,3.300000,3.310000,3.000000,3.030000,2.425915,1561000
2008-07-01,3.060000,3.060000,2.900000,2.950000,2.361865,2590000
2008-08-01,2.940000,2.960000,2.770000,2.840000,2.273795,2107000
2008-09-01,2.840000,2.840000,2.320000,2.450000,1.961548,4788000
2008-10-01,2.500000,2.500000,1.580000,1.840000,1.473163,18012000
2008-11-01,1.860000,1.990000,1.660000,1.780000,1.425125,6507000
2008-12-01,1.770000,1.900000,1.720000,1.840000,1.473163,2838000
2009-01-01,1.860000,2.020000,1.730000,1.780000,1.425125,7260000
2009-02-01,1.770000,1.780000,1.610000,1.610000,1.289018,8329000
2009-03-01,1.600000,1.800000,1.490000,1.720000,1.377087,10238000
2009-04-01,1.700000,1.960000,1.700000,1.930000,1.545220,6849000
2009-05-01,1.930000,2.380000,1.930000,2.370000,1.897498,9661000
2009-06-01,2.380000,2.490000,2.270000,2.370000,1.897498,6830000
2009-07-01,2.360000,2.680000,2.250000,2.670000,2.137688,6816000
2009-08-01,2.670000,2.730000,2.550000,2.660000,2.129682,6746000
2009-09-01,2.640000,2.750000,2.600000,2.720000,2.177720,3524000
2009-10-01,2.710000,2.850000,2.620000,2.720000,2.177720,4858000
2009-11-01,2.700000,2.870000,2.660000,2.810000,2.249776,3481000
2009-12-01,2.830000,2.970000,2.810000,2.970000,2.377877,2974000
2010-01-01,2.970000,3.120000,2.760000,2.800000,2.241770,6605000
2010-02-01,2.800000,2.850000,2.720000,2.790000,2.233763,3127000
2010-03-01,2.790000,2.960000,2.790000,2.940000,2.353859,3797000
2010-04-01,2.940000,3.050000,2.920000,3.000000,2.401896,3927000
2010-05-01,2.990000,3.040000,2.730000,2.860000,2.289808,10015000
2010-06-01,2.850000,2.960000,2.800000,2.890000,2.313827,2819000
2010-07-01,2.890000,3.040000,2.860000,3.030000,2.425915,3330000
2010-08-01,3.020000,3.060000,2.930000,2.980000,2.385884,3770000
2010-09-01,3.000000,3.170000,3.000000,3.140000,2.513985,3604000
2010-10-01,3.150000,3.280000,3.150000,3.210000,2.570029,5045000
2010-11-01,3.200000,3.390000,3.180000,3.220000,2.578035,4682000
2010-12-01,3.200000,3.310000,3.200000,3.280000,2.626073,3504000
2011-01-01,3.280000,3.350000,3.220000,3.230000,2.586041,4866000
2011-02-01,3.240000,3.290000,3.010000,3.060000,2.449934,5612000
2011-03-01,3.090000,3.160000,2.980000,3.140000,2.513985,6512000
2011-04-01,3.160000,3.260000,3.140000,3.230000,2.586041,43663000
2011-05-01,3.230000,3.250000,3.150000,3.220000,2.578035,3429000
2011-06-01,3.250000,3.250000,3.070000,3.190000,2.554016,3235000
2011-07-01,3.200000,3.260000,3.110000,3.220000,2.578035,4254000
2011-08-01,3.240000,3.260000,2.750000,2.930000,2.345852,15121000
2011-09-01,2.950000,2.970000,2.680000,2.720000,2.177720,5845000
2011-10-01,2.700000,2.960000,2.590000,2.910000,2.329839,8327000
2011-11-01,2.860000,2.940000,2.710000,2.760000,2.209745,4104000
2011-12-01,2.860000,2.860000,2.680000,2.740000,2.193732,3984000
2012-01-01,2.730000,2.980000,2.730000,2.980000,2.385884,6318000
2012-02-01,2.940000,3.050000,2.910000,3.010000,2.409902,7907000
2012-03-01,3.010000,3.050000,2.930000,3.030000,2.425915,3048000
2012-04-01,3.040000,3.060000,2.970000,3.010000,2.409902,3526000
2012-05-01,3.020000,3.050000,2.810000,2.830000,2.265789,4452000
2012-06-01,2.840000,2.960000,2.770000,2.950000,2.361865,4151000
2012-07-01,2.920000,3.090000,2.900000,3.060000,2.449934,8934000
2012-08-01,3.030000,3.120000,3.030000,3.060000,2.449934,3660000
2012-09-01,3.060000,3.130000,3.020000,3.110000,2.489966,2614000
2012-10-01,3.110000,3.160000,3.060000,3.080000,2.465947,2033000
2012-11-01,3.080000,3.140000,2.990000,3.130000,2.505979,2763000
2012-12-01,3.140000,3.240000,3.110000,3.220000,2.578035,3301000
2013-01-01,3.220000,3.350000,3.220000,3.330000,2.666105,3524000
2013-02-01,3.310000,3.340000,3.260000,3.290000,2.634079,3265000
2013-03-01,3.280000,3.330000,3.250000,3.330000,2.666105,1749000
2013-04-01,3.350000,3.400000,3.270000,3.390000,2.714143,3662000
2013-05-01,3.380000,3.490000,3.340000,3.350000,2.682117,3355000
2013-06-01,3.330000,3.340000,3.130000,3.210000,2.570029,6219000
2013-07-01,3.220000,3.330000,3.180000,3.280000,2.626073,1898000
2013-08-01,3.290000,3.320000,3.010000,3.060000,2.449934,7730000
2013-09-01,3.080000,3.300000,3.050000,3.230000,2.621684,3924000
2013-10-01,3.230000,3.300000,3.150000,3.250000,2.637918,4860000
2013-11-01,3.240000,3.260000,3.200000,3.220000,2.613567,3621000
2013-12-01,3.220000,3.270000,3.070000,3.230000,2.621684,4351000
2014-01-01,3.240000,3.240000,3.080000,3.090000,2.508050,4955000
2014-02-01,3.080000,3.120000,2.980000,3.110000,2.524284,10423000
2014-03-01,3.080000,3.240000,3.050000,3.190000,2.625998,9015000
2014-04-01,3.200000,3.290000,3.190000,3.280000,2.700086,4164000
2014-05-01,3.290000,3.350000,3.260000,3.340000,2.749478,2623000
2014-06-01,3.330000,3.350000,3.280000,3.290000,2.708318,2060000
2014-07-01,3.300000,3.430000,3.280000,3.410000,2.807102,2043000
2014-08-01,3.400000,3.400000,3.290000,3.360000,2.765942,7862000
2014-09-01,3.360000,3.390000,3.250000,3.300000,2.753316,5086000
2014-10-01,3.310000,3.310000,3.190000,3.310000,2.761658,3604000
2014-11-01,3.310000,3.390000,3.310000,3.390000,2.828406,2956000
2014-12-01,3.390000,3.410000,3.260000,3.400000,2.836749,5385000
2015-01-01,3.400000,3.490000,3.320000,3.410000,2.845093,3426900
2015-02-01,3.410000,3.470000,3.390000,3.400000,2.876774,2293200
2015-03-01,3.410000,3.460000,3.350000,3.430000,2.902157,44790900
2015-04-01,3.440000,3.550000,3.430000,3.520000,2.978307,2695400
2015-05-01,3.520000,3.520000,3.420000,3.430000,2.902157,3900900
2015-06-01,3.420000,3.430000,3.300000,3.350000,2.834468,8826600
2015-07-01,3.370000,3.430000,3.230000,3.240000,2.741396,9305800
2015-08-01,3.260000,3.260000,2.870000,2.970000,2.550476,18110800
2015-09-01,2.960000,2.990000,2.800000,2.850000,2.447427,11283900
2015-10-01,2.850000,3.140000,2.810000,3.040000,2.610588,6569000
2015-11-01,3.030000,3.090000,2.900000,2.920000,2.507539,4935100
2015-12-01,2.920000,2.970000,2.850000,2.950000,2.533301,7706500
2016-01-01,2.950000,2.950000,2.570000,2.630000,2.258502,23834700
2016-02-01,2.650000,2.700000,2.540000,2.690000,2.355708,10209300
2016-03-01,2.690000,2.920000,2.670000,2.860000,2.504582,8972500
2016-04-01,2.840000,2.970000,2.790000,2.870000,2.513339,8160700
2016-05-01,2.880000,2.880000,2.770000,2.840000,2.487067,10815100
2016-06-01,2.840000,2.930000,2.760000,2.880000,2.522096,11579000
2016-07-01,2.900000,3.000000,2.870000,2.880000,2.522096,9292800
2016-08-01,2.890000,2.930000,2.830000,2.860000,2.540631,8441100
2016-09-01,2.880000,2.960000,2.840000,2.910000,2.585048,9050400
2016-10-01,2.920000,2.950000,2.830000,2.860000,2.540631,7377800
2016-11-01,2.860000,2.950000,2.810000,2.950000,2.620582,15007700
2016-12-01,2.950000,3.030000,2.920000,2.940000,2.611698,8933400
2017-01-01,2.940000,3.130000,2.930000,3.110000,2.762715,15092700
2017-02-01,3.110000,3.140000,3.040000,3.100000,2.753831,9472100
2017-03-01,3.110000,3.200000,3.110000,3.190000,2.882592,29748000
2017-04-01,3.200000,3.210000,3.130000,3.200000,2.891629,7554300
2017-05-01,3.210000,3.310000,3.210000,3.260000,2.945846,11089700
2017-06-01,3.260000,3.310000,3.240000,3.270000,2.954883,6515800
2017-07-01,3.270000,3.400000,3.240000,3.320000,3.000064,9246100
2017-08-01,3.320000,3.370000,3.280000,3.320000,3.043153,7358700
2017-09-01,3.320000,3.320000,3.240000,3.250000,2.978991,5914000
2017-10-01,3.280000,3.420000,3.270000,3.420000,3.134815,5658900
2017-11-01,3.420000,3.490000,3.390000,3.480000,3.189811,8317700
2017-12-01,3.480000,3.510000,3.420000,3.450000,3.162313,6798000
2018-01-01,3.450000,3.660000,3.450000,3.580000,3.281473,15222600
2018-02-01,3.540000,3.570000,3.350000,3.520000,3.226476,12877100
2018-03-01,3.520000,3.560000,3.400000,3.430000,3.191225,9828000
2018-04-01,3.440000,3.645000,3.350000,3.637000,3.383815,7353600
2018-05-01,3.637000,3.658000,3.495000,3.500000,3.256352,17777700
2018-06-01,3.495000,3.545000,3.297000,3.321000,3.089813,11707400
2018-07-01,3.325000,3.405000,3.230000,3.388000,3.152149,11610900
2018-08-01,3.391000,3.399000,3.229000,3.251000,3.024686,9961200
2018-09-01,3.255000,3.309000,3.145000,3.299000,3.124648,11381350
2018-10-01,3.300000,3.314000,3.000000,3.061000,2.899226,23026400
2018-11-01,3.081000,3.180000,3.054000,3.156000,2.989205,8838200
2018-12-01,3.188000,3.239000,3.058000,3.117000,2.952267,9567400
2019-01-01,3.117000,3.299000,3.040000,3.247000,3.075396,12658628
