,Unnamed: 0,Delta,Width,Timing,Alloc.,PT / Ladder,CAGR,Drawdown,Score,Updated
491,,8,300,S 1-4 DTE,75%,80%,22.2%,-34.7%,1.56,May 16 2021
492,,8,300,S 1-4 DTE,100%,80%,28.7%,-45.9%,1.60,May 16 2021
493,,9,50,S 1-4 DTE,10%,-,3.5%,-27.9%,7.97,May 16 2021
494,,9,50,S 1-4 DTE,20%,-,3.6%,-50.8%,14.11,May 16 2021
495,,9,50,S 1-4 DTE,30%,-,0.3%,-69.2%,230.67,May 16 2021
496,,9,50,S 1-4 DTE,10%,70%,-0.1%,-36.1%,-,May 16 2021
497,,9,50,S 1-4 DTE,20%,70%,-3.7%,-63.5%,-,May 16 2021
498,,9,50,S 1-4 DTE,30%,70%,-12.3%,-82.7%,-,May 16 2021
499,,9,50,S 1-4 DTE,50%,70%,-36.8%,,-,May 16 2021
500,,9,50,S 1-4 DTE,10%,80%,3.3%,-25.9%,7.85,May 16 2021
501,,9,50,S 1-4 DTE,20%,80%,3.5%,-48.3%,13.80,May 16 2021
502,,9,50,S 1-4 DTE,30%,80%,-0.7%,-69.1%,-,May 16 2021
503,,9,100,S 1-4 DTE,10%,-,5.4%,-12.4%,2.30,May 16 2021
504,,9,100,S 1-4 DTE,20%,-,10.3%,-25.9%,2.51,May 16 2021
505,,9,100,S 1-4 DTE,30%,-,14.6%,-37.3%,2.55,May 16 2021
506,,9,100,S 1-4 DTE,10%,70%,3.4%,-17.7%,5.21,May 16 2021
507,,9,100,S 1-4 DTE,20%,70%,4.8%,-37.1%,7.73,May 16 2021
508,,9,100,S 1-4 DTE,30%,70%,5.5%,-52.7%,9.58,May 16 2021
509,,9,100,S 1-4 DTE,50%,70%,0.3%,-76.9%,256.33,May 16 2021
510,,9,100,S 1-4 DTE,10%,80%,6.1%,-14.3%,2.34,May 16 2021
511,,9,100,S 1-4 DTE,20%,80%,11.3%,-27.5%,2.43,May 16 2021
512,,9,100,S 1-4 DTE,30%,80%,16.4%,-38.7%,2.36,May 16 2021
513,,9,150,S 1-4 DTE,10%,-,4.9%,-8.0%,1.63,May 16 2021
514,,9,150,S 1-4 DTE,20%,-,10.0%,-16.0%,1.60,May 16 2021
515,,9,150,S 1-4 DTE,30%,-,14.7%,-23.9%,1.63,May 16 2021
516,,9,150,S 1-4 DTE,10%,70%,3.9%,-13.4%,3.44,May 16 2021
517,,9,150,S 1-4 DTE,20%,70%,7.5%,-24.6%,3.28,May 16 2021
518,,9,150,S 1-4 DTE,30%,70%,11.3%,-33.7%,2.98,May 16 2021
519,,9,150,S 1-4 DTE,50%,70%,15.1%,-55.1%,3.65,May 16 2021
520,,9,150,S 1-4 DTE,10%,80%,4.5%,-14.2%,3.16,May 16 2021
521,,9,150,S 1-4 DTE,20%,80%,8.8%,-24.8%,2.82,May 16 2021
522,,9,150,S 1-4 DTE,30%,80%,12.2%,-37.6%,3.08,May 16 2021
523,,9,200,S 1-4 DTE,10%,-,4.4%,-6.9%,1.57,May 16 2021
524,,9,200,S 1-4 DTE,20%,-,8.1%,-11.4%,1.41,May 16 2021
525,,9,200,S 1-4 DTE,30%,-,13.0%,-16.8%,1.29,May 16 2021
526,,9,200,S 1-4 DTE,10%,70%,5.5%,-7.9%,1.44,May 16 2021
527,,9,200,S 1-4 DTE,20%,70%,10.6%,-13.8%,1.30,May 16 2021
528,,9,200,S 1-4 DTE,30%,70%,15.2%,-21.2%,1.39,May 16 2021
529,,9,200,S 1-4 DTE,50%,70%,25.2%,-33.4%,1.33,May 16 2021
530,,9,200,S 1-4 DTE,10%,80%,4.2%,-9.8%,2.33,May 16 2021
531,,9,200,S 1-4 DTE,20%,80%,7.4%,-18.0%,2.43,May 16 2021
532,,9,200,S 1-4 DTE,30%,80%,10.4%,-26.8%,2.58,May 16 2021
533,,9,250,S 1-4 DTE,10%,-,3.5%,-4.3%,1.23,May 16 2021
534,,9,250,S 1-4 DTE,20%,-,7.4%,-8.1%,1.09,May 16 2021
535,,9,250,S 1-4 DTE,30%,-,11.0%,-13.2%,1.20,May 16 2021
536,,9,250,S 1-4 DTE,10%,70%,3.6%,-6.0%,1.67,May 16 2021
537,,9,250,S 1-4 DTE,20%,70%,7.2%,-13.5%,1.88,May 16 2021
538,,9,250,S 1-4 DTE,30%,70%,11.1%,-19.0%,1.71,May 16 2021
539,,9,250,S 1-4 DTE,50%,70%,18.0%,-30.9%,1.72,May 16 2021
540,,9,250,S 1-4 DTE,75%,70%,25.4%,-43.2%,1.70,May 16 2021
541,,9,250,S 1-4 DTE,100%,70%,30.0%,-57.4%,1.91,May 16 2021
542,,9,250,S 1-4 DTE,10%,80%,3.2%,-6.3%,1.97,May 16 2021
543,,9,250,S 1-4 DTE,20%,80%,6.0%,-15.6%,2.60,May 16 2021
544,,9,250,S 1-4 DTE,30%,80%,9.9%,-20.5%,2.07,May 16 2021
545,,9,300,S 1-4 DTE,10%,-,3.7%,-4.2%,1.14,May 16 2021
546,,9,300,S 1-4 DTE,20%,-,6.2%,-7.7%,1.24,May 16 2021
547,,9,300,S 1-4 DTE,30%,-,9.8%,-10.8%,1.10,May 16 2021
548,,9,300,S 1-4 DTE,10%,70%,3.8%,-6.2%,1.63,May 16 2021
549,,9,300,S 1-4 DTE,20%,70%,6.7%,-11.7%,1.75,May 16 2021
550,,9,300,S 1-4 DTE,30%,70%,10.0%,-16.4%,1.64,May 16 2021
551,,9,300,S 1-4 DTE,50%,70%,16.2%,-26.4%,1.63,May 16 2021
552,,9,300,S 1-4 DTE,75%,70%,24.3%,-37.3%,1.53,May 16 2021
553,,9,300,S 1-4 DTE,100%,70%,29.9%,-47.6%,1.59,May 16 2021
554,,9,300,S 1-4 DTE,10%,80%,3.8%,-5.9%,1.55,May 16 2021
555,,9,300,S 1-4 DTE,20%,80%,6.5%,-11.4%,1.75,May 16 2021
556,,9,300,S 1-4 DTE,30%,80%,10.0%,-16.1%,1.61,May 16 2021
557,,9,50,D 09:45 1-4 DTE,10%,-,3.5%,-36.9%,10.54,May 16 2021
558,,9,50,D 03:30 1-4 DTE,10%,-,2.7%,-34.9%,12.93,May 16 2021
559,,9,100,D 09:45 1-4 DTE,10%,-,6.7%,-22.2%,3.31,May 16 2021
560,,9,100,D 03:30 1-4 DTE,10%,-,6.7%,-16.7%,2.49,May 16 2021
561,,9,150,D 09:45 1-4 DTE,10%,-,6.4%,-14.5%,2.27,May 16 2021
562,,9,150,D 03:30 1-4 DTE,10%,-,6.1%,-10.6%,1.74,May 16 2021
563,,9,50,L 1-4 DTE,10%,80%,7.1%,-35.1%,4.94,-
564,,9,100,L 1-4 DTE,10%,80%,8.3%,-21.3%,2.57,-
565,,9,150,L 1-4 DTE,10%,80%,6.1%,-14.4%,2.36,-
566,,10,50,S 1-4 DTE,10%,-,4.2%,-28.5%,6.79,May 16 2021
567,,10,50,S 1-4 DTE,20%,-,5.3%,-51.4%,9.70,May 16 2021
568,,10,50,S 1-4 DTE,30%,-,2.3%,-69.0%,30.00,May 16 2021
569,,10,50,S 1-4 DTE,50%,-,-17.1%,,-,May 16 2021
570,,10,50,S 1-4 DTE,10%,70%,1.1%,-35.7%,32.45,May 16 2021
571,,10,50,S 1-4 DTE,20%,70%,-1.8%,-63.5%,-,May 16 2021
572,,10,50,S 1-4 DTE,30%,70%,-8.5%,-81.6%,-,May 16 2021
573,,10,50,S 1-4 DTE,50%,70%,-35.3%,,-,May 16 2021
574,,10,50,S 1-4 DTE,10%,80%,4.9%,-28.8%,5.88,May 16 2021
575,,10,50,S 1-4 DTE,20%,80%,6.4%,-53.2%,8.31,May 16 2021
576,,10,50,S 1-4 DTE,30%,80%,3.5%,-72.8%,20.80,May 16 2021
577,,10,50,S 1-4 DTE,50%,80%,-17.3%,,-,May 16 2021
578,,10,100,S 1-4 DTE,10%,-,6.1%,-13.0%,2.13,May 16 2021
579,,10,100,S 1-4 DTE,20%,-,11.3%,-26.6%,2.35,May 16 2021
580,,10,100,S 1-4 DTE,30%,-,15.4%,-39.8%,2.58,May 16 2021
581,,10,100,S 1-4 DTE,50%,-,20.5%,-60.0%,2.93,May 16 2021
582,,10,100,S 1-4 DTE,10%,70%,4.5%,-19.9%,4.42,May 16 2021
583,,10,100,S 1-4 DTE,20%,70%,8.1%,-37.3%,4.60,May 16 2021
584,,10,100,S 1-4 DTE,30%,70%,8.9%,-55.9%,6.28,May 16 2021
585,,10,100,S 1-4 DTE,50%,70%,4.0%,-81.2%,20.30,May 16 2021
586,,10,100,S 1-4 DTE,10%,80%,6.3%,-15.3%,2.43,May 16 2021
587,,10,100,S 1-4 DTE,20%,80%,11.9%,-29.3%,2.46,May 16 2021
588,,10,100,S 1-4 DTE,30%,80%,15.6%,-43.7%,2.80,May 16 2021
589,,10,100,S 1-4 DTE,50%,80%,16.8%,-67.4%,4.01,May 16 2021
590,,10,150,S 1-4 DTE,10%,-,5.4%,-9.1%,1.69,May 16 2021
591,,10,150,S 1-4 DTE,20%,-,11.1%,-16.4%,1.48,May 16 2021
592,,10,150,S 1-4 DTE,30%,-,16.0%,-25.0%,1.56,May 16 2021
593,,10,150,S 1-4 DTE,50%,-,25.6%,-40.4%,1.58,May 16 2021
594,,10,150,S 1-4 DTE,10%,70%,4.1%,-13.6%,3.32,May 16 2021
595,,10,150,S 1-4 DTE,20%,70%,8.3%,-24.6%,2.96,May 16 2021
596,,10,150,S 1-4 DTE,30%,70%,11.5%,-36.8%,3.20,May 16 2021
597,,10,150,S 1-4 DTE,50%,70%,15.3%,-58.0%,3.79,May 16 2021
598,,10,150,S 1-4 DTE,10%,80%,5.2%,-11.7%,2.25,May 16 2021
599,,10,150,S 1-4 DTE,20%,80%,10.6%,-20.6%,1.94,May 16 2021
600,,10,150,S 1-4 DTE,30%,80%,14.2%,-30.7%,2.16,May 16 2021
601,,10,150,S 1-4 DTE,50%,80%,20.3%,-47.5%,2.34,May 16 2021
602,,10,200,S 1-4 DTE,10%,-,5.0%,-6.9%,1.38,May 16 2021
603,,10,200,S 1-4 DTE,20%,-,9.7%,-11.7%,1.21,May 16 2021
604,,10,200,S 1-4 DTE,30%,-,14.7%,-17.5%,1.19,May 16 2021
605,,10,200,S 1-4 DTE,50%,-,23.2%,-30.5%,1.31,May 16 2021
606,,10,200,S 1-4 DTE,10%,70%,5.0%,-9.9%,1.98,May 16 2021
607,,10,200,S 1-4 DTE,20%,70%,9.2%,-17.4%,1.89,May 16 2021
608,,10,200,S 1-4 DTE,30%,70%,13.4%,-25.2%,1.88,May 16 2021
609,,10,200,S 1-4 DTE,50%,70%,20.4%,-41.0%,2.01,May 16 2021
610,,10,200,S 1-4 DTE,10%,80%,5.0%,-9.6%,1.92,May 16 2021
611,,10,200,S 1-4 DTE,20%,80%,9.0%,-17.3%,1.92,May 16 2021
612,,10,200,S 1-4 DTE,30%,80%,13.0%,-24.9%,1.92,May 16 2021
613,,10,200,S 1-4 DTE,50%,80%,20.5%,-40.3%,1.97,May 16 2021
614,,10,250,S 1-4 DTE,10%,-,3.9%,-4.4%,1.13,May 16 2021
615,,10,250,S 1-4 DTE,20%,-,8.5%,-8.4%,0.99,May 16 2021
616,,10,250,S 1-4 DTE,30%,-,12.4%,-14.1%,1.14,May 16 2021
617,,10,250,S 1-4 DTE,50%,-,21.3%,-22.5%,1.06,May 16 2021
618,,10,250,S 1-4 DTE,75%,-,30.8%,-33.9%,1.10,May 16 2021
619,,10,250,S 1-4 DTE,100%,-,40.5%,-43.5%,1.07,May 16 2021
620,,10,250,S 1-4 DTE,10%,70%,3.6%,-7.1%,1.97,May 16 2021
621,,10,250,S 1-4 DTE,20%,70%,7.2%,-14.6%,2.03,May 16 2021
622,,10,250,S 1-4 DTE,30%,70%,10.6%,-22.2%,2.09,May 16 2021
623,,10,250,S 1-4 DTE,50%,70%,17.0%,-35.7%,2.10,May 16 2021
624,,10,250,S 1-4 DTE,75%,70%,22.7%,-52.3%,2.30,May 16 2021
625,,10,250,S 1-4 DTE,100%,70%,26.7%,-65.9%,2.47,May 16 2021
626,,10,250,S 1-4 DTE,10%,80%,3.7%,-6.5%,1.76,May 16 2021
627,,10,250,S 1-4 DTE,20%,80%,6.9%,-13.9%,2.01,May 16 2021
628,,10,250,S 1-4 DTE,30%,80%,11.4%,-20.5%,1.80,May 16 2021
629,,10,250,S 1-4 DTE,50%,80%,17.5%,-32.9%,1.88,May 16 2021
630,,10,250,S 1-4 DTE,75%,80%,25.0%,-46.1%,1.84,May 16 2021
631,,10,250,S 1-4 DTE,100%,80%,28.8%,-60.7%,2.11,May 16 2021
632,,10,300,S 1-4 DTE,10%,-,4.0%,-4.4%,1.10,May 16 2021
633,,10,300,S 1-4 DTE,20%,-,7.1%,-7.7%,1.08,May 16 2021
634,,10,300,S 1-4 DTE,30%,-,10.8%,-11.5%,1.06,May 16 2021
635,,10,300,S 1-4 DTE,50%,-,18.4%,-18.1%,0.98,May 16 2021
636,,10,300,S 1-4 DTE,75%,-,27.7%,-26.9%,0.97,May 16 2021
637,,10,300,S 1-4 DTE,100%,-,35.9%,-36.5%,1.02,May 16 2021
638,,10,300,S 1-4 DTE,10%,70%,3.8%,-6.8%,1.79,May 16 2021
639,,10,300,S 1-4 DTE,20%,70%,6.3%,-13.2%,2.10,May 16 2021
640,,10,300,S 1-4 DTE,30%,70%,9.9%,-18.0%,1.82,May 16 2021
641,,10,300,S 1-4 DTE,50%,70%,16.1%,-28.4%,1.76,May 16 2021
642,,10,300,S 1-4 DTE,75%,70%,22.4%,-41.4%,1.85,May 16 2021
643,,10,300,S 1-4 DTE,100%,70%,27.6%,-54.1%,1.96,May 16 2021
644,,10,300,S 1-4 DTE,10%,80%,3.8%,-6.5%,1.71,May 16 2021
645,,10,300,S 1-4 DTE,20%,80%,6.3%,-12.1%,1.92,May 16 2021
646,,10,300,S 1-4 DTE,30%,80%,9.9%,-16.9%,1.71,May 16 2021
647,,10,300,S 1-4 DTE,50%,80%,16.1%,-26.9%,1.67,May 16 2021
648,,10,300,S 1-4 DTE,75%,80%,22.6%,-39.4%,1.74,May 16 2021
649,,10,300,S 1-4 DTE,100%,80%,28.5%,-49.9%,1.75,May 16 2021
650,,13,70,S 1-4 DTE,10%,-,5.1%,-27.4%,5.37,May 16 2021
651,,13,70,S 1-4 DTE,20%,-,7.4%,-49.4%,6.68,May 16 2021
652,,13,70,S 1-4 DTE,30%,-,6.2%,-67.3%,10.85,May 16 2021
653,,13,70,S 1-4 DTE,10%,80%,3.1%,-33.1%,10.68,May 16 2021
654,,13,70,S 1-4 DTE,20%,80%,2.8%,-59.9%,21.39,May 16 2021
655,,13,70,S 1-4 DTE,30%,80%,-1.4%,-78.9%,-,May 16 2021
