Name of Fund,Product Type,Transaction Date,Investment Amount,Exchange Rate,Purchase Price,Norminal Value / Quantity,Accrued Interest,Upfront Setup Fee Rate,Processing Fee,Payment Mode,Status,Date Completed,Transaction Type,Advice Given,Suitability,
Cash Fund,UT,11-Jun-2018,SGD 579.24,1,SGD 1.071408,540.634,NA,NA,SGD 0.00,Cash Fund,complete,12-Jun-2018,Switch Buy,Y,Y,
Cash Fund,UT,11-Jun-2018,SGD 572.46,1,SGD 1.071408,534.306,NA,NA,SGD 0.00,Cash Fund,complete,12-Jun-2018,Switch Buy,Y,Y,
Cash Fund,UT,11-Jun-2018,SGD 558.53,1,SGD 1.071408,521.305,NA,NA,SGD 0.00,Cash Fund,complete,12-Jun-2018,Switch Buy,Y,Y,
Cash Fund,UT,11-Jun-2018,SGD 563.94,1,SGD 1.071408,526.354,NA,NA,SGD 0.00,Cash Fund,complete,12-Jun-2018,Switch Buy,Y,Y,
DWS China Equity A SGD,UT,08-Jun-2018,SGD 250,1,SGD 4.3297,55.88,NA,NA,SGD 0.00,DDA,complete,14-Jun-2018,RSP,-,-,
Eastspring Investments - China Equity Fund AS SGD,UT,08-Jun-2018,SGD 250,1,SGD 14.307,16.913,NA,NA,SGD 0.00,DDA,complete,14-Jun-2018,RSP,-,-,
Fidelity China Focus A-SGD,UT,08-Jun-2018,SGD 250,1,SGD 2.255,107.3,NA,NA,SGD 0.00,DDA,complete,14-Jun-2018,RSP,-,-,
Aberdeen Standard China Opportunities SGD,UT,08-Jun-2018,SGD 250,1,SGD 3.9192,61.74,NA,NA,SGD 0.00,DDA,complete,14-Jun-2018,RSP,-,-,
Fidelity China Consumer A-SGD,UT,06-Jun-2018,SGD 339.67,1,SGD 2.213,153.49,NA,NA,SGD 0.00,Cash,complete,12-Jun-2018,Switch Buy,Y,Y,
HGIF - RMB Fixed Income AM3O SGD,UT,06-Jun-2018,SGD 342.97,1,SGD 10.626,32.276,NA,NA,SGD 0.00,Cash,complete,12-Jun-2018,Switch Buy,Y,Y,
Fidelity China Consumer A-SGD,UT,06-Jun-2018,SGD 342.95,1,SGD 2.213,154.97,NA,NA,SGD 0.00,Cash,complete,12-Jun-2018,Switch Buy,Y,Y,
HGIF - RMB Fixed Income AM3O SGD,UT,06-Jun-2018,SGD 352.27,1,SGD 10.626,33.152,NA,NA,SGD 0.00,Cash,complete,12-Jun-2018,Switch Buy,Y,Y,
Fidelity China Consumer A-SGD,UT,06-Jun-2018,SGD 352.27,1,SGD 2.213,159.18,NA,NA,SGD 0.00,Cash,complete,12-Jun-2018,Switch Buy,Y,Y,
HGIF - RMB Fixed Income AM3O SGD,UT,06-Jun-2018,SGD 339.67,1,SGD 10.626,31.966,NA,NA,SGD 0.00,Cash,complete,12-Jun-2018,Switch Buy,Y,Y,
Fidelity China Consumer A-SGD,UT,06-Jun-2018,SGD 348.16,1,SGD 2.213,157.32,NA,NA,SGD 0.00,Cash,complete,12-Jun-2018,Switch Buy,Y,Y,
HGIF - RMB Fixed Income AM3O SGD,UT,06-Jun-2018,SGD 348.16,1,SGD 10.626,32.765,NA,NA,SGD 0.00,Cash,complete,12-Jun-2018,Switch Buy,Y,Y,
Eastspring Investments - China Equity Fund AS SGD,UT,08-May-2018,SGD 250,1,SGD 14.004,17.279,NA,NA,SGD 0.00,DDA,complete,14-May-2018,RSP,-,-,
Aberdeen Standard China Opportunities SGD,UT,08-May-2018,SGD 250,1,SGD 3.7536,64.46,NA,NA,SGD 0.00,DDA,complete,14-May-2018,RSP,-,-,
DWS China Equity A SGD,UT,08-May-2018,SGD 250,1,SGD 4.162,58.13,NA,NA,SGD 0.00,DDA,complete,14-May-2018,RSP,-,-,
Fidelity China Focus A-SGD,UT,08-May-2018,SGD 250,1,SGD 2.206,109.69,NA,NA,SGD 0.00,DDA,complete,14-May-2018,RSP,-,-,
Aberdeen Standard China Opportunities SGD,UT,09-Apr-2018,SGD 250,1,SGD 3.6764,65.82,NA,NA,SGD 0.00,DDA,complete,13-Apr-2018,RSP,-,-,
Eastspring Investments - China Equity Fund AS SGD,UT,09-Apr-2018,SGD 250,1,SGD 13.65,17.727,NA,NA,SGD 0.00,DDA,complete,13-Apr-2018,RSP,-,-,
DWS China Equity A SGD,UT,09-Apr-2018,SGD 250,1,SGD 3.9994,60.5,NA,NA,SGD 0.00,DDA,complete,13-Apr-2018,RSP,-,-,
Fidelity China Focus A-SGD,UT,09-Apr-2018,SGD 250,1,SGD 2.123,113.98,NA,NA,SGD 0.00,DDA,complete,13-Apr-2018,RSP,-,-,
Eastspring Investments - China Equity Fund AS SGD,UT,08-Mar-2018,SGD 250,1,SGD 14.143,17.109,NA,NA,SGD 0.00,DDA,complete,14-Mar-2018,RSP,-,-,
Fidelity China Focus A-SGD,UT,08-Mar-2018,SGD 250,1,SGD 2.189,110.54,NA,NA,SGD 0.00,DDA,complete,14-Mar-2018,RSP,-,-,
DWS China Equity A SGD,UT,08-Mar-2018,SGD 250,1,SGD 4.1452,58.37,NA,NA,SGD 0.00,DDA,complete,14-Mar-2018,RSP,-,-,
Aberdeen Standard China Opportunities SGD,UT,08-Mar-2018,SGD 250,1,SGD 3.7684,64.21,NA,NA,SGD 0.00,DDA,complete,14-Mar-2018,RSP,-,-,
Eastspring Investments - China Equity Fund AS SGD,UT,08-Feb-2018,SGD 250,1,SGD 14.059,17.211,NA,NA,SGD 0.00,DDA,complete,14-Feb-2018,RSP,-,-,
Aberdeen Standard China Opportunities SGD,UT,08-Feb-2018,SGD 250,1,SGD 3.6845,65.67,NA,NA,SGD 0.00,DDA,complete,14-Feb-2018,RSP,-,-,
Fidelity China Focus A-SGD,UT,08-Feb-2018,SGD 250,1,SGD 2.18,111,NA,NA,SGD 0.00,DDA,complete,14-Feb-2018,RSP,-,-,
DWS China Equity A SGD,UT,08-Feb-2018,SGD 250,1,SGD 3.98,60.79,NA,NA,SGD 0.00,DDA,complete,14-Feb-2018,RSP,-,-,
DWS China Equity A SGD,UT,08-Jan-2018,SGD 250,1,SGD 4.134,58.53,NA,NA,SGD 0.00,DDA,complete,12-Jan-2018,RSP,-,-,
Fidelity China Focus A-SGD,UT,08-Jan-2018,SGD 250,1,SGD 2.234,108.31,NA,NA,SGD 0.00,DDA,complete,12-Jan-2018,RSP,-,-,
Eastspring Investments - China Equity Fund AS SGD,UT,08-Jan-2018,SGD 250,1,SGD 14.343,16.87,NA,NA,SGD 0.00,DDA,complete,12-Jan-2018,RSP,-,-,
Aberdeen Standard China Opportunities SGD,UT,08-Jan-2018,SGD 250,1,SGD 3.7769,64.07,NA,NA,SGD 0.00,DDA,complete,12-Jan-2018,RSP,-,-,
Cash Fund,UT,01-Dec-2017,SGD 4600,1,SGD 1.066791,4173.582,NA,NA,SGD 0.00,Cash,complete,04-Dec-2017,Buy,Y,Y,
SPDR® Gold Shares,ETF,01-Dec-2017,USD 3758.56,1,USD 121.15,30,NA,NA,USD 5.83,Cash Account (USD),complete,01-Dec-2017,Buy,NA,NA,
