date,amount,price,sid,symbol,value
2010-04-12 23:59:59.999989+00:00,483,43.3231395288,9,XLE,-20925.0763924104
2010-04-13 23:59:59.999989+00:00,322,19.8232447409,0,XLK,-6383.0848065698
2010-04-13 23:59:59.999989+00:00,-356,27.266485468258026,3,XLB,9706.868826699858
2010-04-13 23:59:59.999989+00:00,322,25.5888716248,5,XLI,-8239.6166631856
2010-04-13 23:59:59.999989+00:00,-483,43.13876190244974,9,XLE,20836.02199888322
2010-04-14 23:59:59.999989+00:00,-322,20.155695112036057,0,XLK,6490.13382607561
2010-04-14 23:59:59.999989+00:00,-483,29.512650910675397,1,XLY,14254.610389856216
2010-04-14 23:59:59.999989+00:00,484,27.4771596705,3,XLB,-13298.945280522
2010-04-14 23:59:59.999989+00:00,-322,25.960451033936057,5,XLI,8359.26523292741
2010-04-14 23:59:59.999989+00:00,-126,11.365651499706532,8,XLF,1432.072088963023
2010-04-14 23:59:59.999989+00:00,484,43.5260582151,9,XLE,-21066.6121761084
2010-04-15 23:59:59.999989+00:00,419,20.2112742124,0,XLK,-8468.5238949956
2010-04-15 23:59:59.999989+00:00,419,29.7401099773,1,XLY,-12461.1060804887
2010-04-15 23:59:59.999989+00:00,419,26.0077011258,5,XLI,-10897.2267717102
2010-04-15 23:59:59.999989+00:00,419,11.4740148471,8,XLF,-4807.6122209349
2010-04-15 23:59:59.999989+00:00,-484,43.6710001339,9,XLE,21136.7640648076
2010-04-16 23:59:59.999989+00:00,-419,19.979064324743565,0,XLK,8371.227952067553
2010-04-16 23:59:59.999989+00:00,-419,29.576313587843565,1,XLY,12392.475393306453
2010-04-16 23:59:59.999989+00:00,-484,27.148914469450826,3,XLB,13140.0746032142
2010-04-16 23:59:59.999989+00:00,-356,26.319021468558024,4,XLV,9369.571642806657
2010-04-16 23:59:59.999989+00:00,-419,25.808470911643564,5,XLI,10813.749311978654
2010-04-16 23:59:59.999989+00:00,-483,20.418328527249734,7,XLU,9862.052678661621
2010-04-16 23:59:59.999989+00:00,-419,11.231820300243566,8,XLF,4706.132705802054
2010-04-16 23:59:59.999989+00:00,288,43.4680814476,9,XLE,-12518.8074569088
2010-04-19 23:59:59.999989+00:00,749,19.9835177835,0,XLK,-14967.654819841502
2010-04-19 23:59:59.999989+00:00,749,29.4652158354,1,XLY,-22069.4466607146
2010-04-19 23:59:59.999989+00:00,749,26.8776006309,3,XLB,-20131.3228725441
2010-04-19 23:59:59.999989+00:00,749,26.2878311858,4,XLV,-19689.5855581642
2010-04-19 23:59:59.999989+00:00,749,25.8224496158,5,XLI,-19341.0147622342
2010-04-19 23:59:59.999989+00:00,-288,42.583935743,9,XLE,12264.173493983999
2010-04-20 23:59:59.999989+00:00,-749,29.86853451142138,1,XLY,22371.532349054614
2010-04-20 23:59:59.999989+00:00,-749,26.631016768321377,4,XLV,19946.631559472713
2010-04-20 23:59:59.999989+00:00,15,20.5092657434,7,XLU,-307.638986151
